E(level)(keV),XREF,Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
3742.44 16,ABC,,,"1023.636 24 ,   1542.51 25 ,   1910.4 4 ,   1933.72 8 ,   3454.0 3","100.0 24 ,     16 3 ,     11 3 ,     57 4 ,     47 4",", , , ,","2718.80,    2199.9,    1830.80,    1808.63,     288.40","1, , 4+, 4-, 3+"
3780 20,A  D,7+,,,,,,
3797.98 17,AB,,,"2158.12 17 ,   3290.3 13","100 11 ,     47 13",",","1639.84,     506.20","3+,4+,5+, 3+"
3827.6 3,ABC,,,"1059.50 10 ,   3320.6 4","68 6 ,    100 13",",","2768.13,     506.20",", 3+"
3841.2 6,A    F,-9,< 0.35 ps,1017.94,100,,2823.2,(8)-
3871.1 6,AB     H,"3-,4-",,3328.2 6,100,,542.82,2+
3914.8 8,BC,,,"3407.9 9 ,   3639.6 17","100 25 ,     39 19",",","506.20,     277.20","3+, 4+"
3928.0 9,AB,,,2720.1 9,100,,1207.83,5+
≈3949,A,,,,,,,
≈3987,A,,,,,,,
≈4005?,A,"3-,4-",,,,,,
4012.16 16,B,"3,4",,1075.67 7,100,,2936.48,
≈4024,A,,,,,,,
4040 30,D,7+,,,,,,
≈4049,A,,,,,,,
≈4067,A,"3-,4-",,,,,,
≈4085,A,,,,,,,
4100.97 21,B,,,"968.74 22 ,   3823.54 23 ,   4043.6 8","21 5 ,    100 7 ,     26 6",", ,","3132.2,     277.20,      58.59",", 4+, 2+"
4112.5 4,ABC,,,4112.3 4,100,,0,5+
≈4134,A,,,,,,,
4156.57 18,AB,"3-,4-",,,,,,
≈4166,A,,,,,,,
4194.0 4,AB,,,"3651.1 5 ,   3758.1 5","73 12 ,    100 14",",","542.82,     435.71","2+, 5+"
≈4206?,A,,,,,,,
4212.8 7,B,"3,4",,3669.9 7,100,,542.82,2+
4253.9 3,AB,,,3248.0 3,100,,1005.8,4
4270.02 24,AB,"3-,4-",,2482.35 23,100,,1787.62,5(+)
4277.0 6,D F,-10,0.1 ps 6,"435.76 20 ,    630.37 10","12 4 ,    100 4",",","3841.2,    3646.6","(9), (9)"
4280 30,D,,,,,,,
4292.05 12,AB,,,"1195.69 8 ,   3677.38 25","38.7 25 ,    100 7",",","3096.35,     614.55",", 3+"
4297.8 4,B,,,2789.4 4,100,,1508.3,"2+,3+"
≈4307,A,,,,,,,
≈4325,A,,,,,,,
≈4341,A,,,,,,,
≈4365,A   E,"3-,4-",,,,,,
≈4390,A,"3-,4-",,,,,,
≈4408,A,,,,,,,
≈4420,A,,,,,,,
≈4452,A,,,,,,,
4485 10,A   E,,,,,,,
≈4507?,A,,,,,,,
4514.0 4,B,,,"1429.31 14 ,   1704.21 7 ,   2661.1 4","55 6 ,    100 6 ,     36 7",", ,","3084.6,    2809.7,    1852.71",", , 4+"
≈4523?,A,,,,,,,
4540.7 12,A      H,,,3997.7 12,100,,542.82,2+
4550 30,D,7+,,,,,,
≈4563,A,,,,,,,
≈4594?,AB,,,,,,,
