E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ),
1812.9 4,(21/2-),"339.7 3 ,    482.4 3","94 12 ,    100 18",",","(17/2-), 21/2-"
1817.3 4,21/2+,116.8 3,100,M1+E2,19/2+
1822.4 4,27/2+,"324.2 3 ,    504.9 3","11 4 ,    100 7",", E2","25/2+, 23/2+"
1832.5 4,(25/2-),502.0 3,100,(E2),21/2-
1982.1 5,(23/2)-,164.8 3,100,E1,21/2+
1989.5 4,(25/2-),"267 1 ,    522.3 3","7 4 ,    100 3",", E2","(23/2-), (21/2-)"
2006.5 5,(23/2+),"189.2 3 ,    306 1 ?","100 7 ,     ≤4.2",",","21/2+, 19/2+"
2014.3 4,29/2+,"192.0 3 ,    516.2 3","2.2 17 ,    100 6",", E2","27/2+, 25/2+"
2145.3 6,(25/2-),163.3 3,100,,(23/2)-
2191.0 4,(25/2-),"358.5 3 ,    378.0 3","30 12 ,    100 9",",","(25/2-), (21/2-)"
2223.1 5,(25/2+),"216.6 3 ,    405.8 3","100 9 ,     18 6",",","(23/2+), 21/2+"
2263.6 5,(27/2-),"274 1 ,    541.3 3","6 4 ,    100 3",", E2","(25/2-), (23/2-)"
2263.6 3 ?,"5/2-,7/2","2001.3 5 ,   2022.7 6 ,   2182.0 4","100 25 ,  ,     67 17",", ,","9/2-, 7/2-, 5/2-"
2354.2 6,(27/2-),"209.1 3 ,    372.0 3","100 13 ,      8 3",",","(25/2-), (23/2)-"
2357.9 6,(27/2-),561.5 3,100,,(23/2-)
2392.7 5,(29/2-),560.1 3,100,(E2),(25/2-)
2397.8 5,31/2+,"383.5 3 ,    575.3 3","5.5 23 ,    100 11",", E2","29/2+, 27/2+"
2464.8 5,(27/2+),"241.7 3 ,    458.4 3","100 29 ,     77 13",",","(25/2+), (23/2+)"
2539.4 4,(29/2-),550.0 3,100,,(25/2-)
2596.2 6,(29/2-),"242.0 3 ,    450.8 3","100 19 ,     22 4","(M1+E2),","(27/2-), (25/2-)"
2601.6 5,33/2+,"203.7 3 ,    587.4 3","1.9 17 ,    100 10",", E2","31/2+, 29/2+"
2617.6 5,(29/2-),426.6 3,100,,(25/2-)
2729.3 5,(29/2+),"264.4 3 ,    506.1 3","100 17 ,     87 15",",","(27/2+), (25/2+)"
2814.7 7,(29/2-),460.5 3,100,E2,(27/2-)
2818.3 6,(31/2-),554.7 3,100,(E2),"5/2-,7/2"
2865.5 6,(31/2-),"269.2 3 ,    511.3 3","100 20 ,     32 5",",","(29/2-), (27/2-)"
2969.6 7,(31/2-),611.7 3,100,,(27/2-)
3001.5 5,(33/2-),608.8 3,100,(E2),(29/2-)
3015.0 6,(31/2+),"285.7 3 ,    550.3 3","49 9 ,    100 13",",","(29/2+), (27/2+)"
3028.2 5,35/2+,"426.6 3 ,    630.4 3","7 3 ,    100 16",", E2","33/2+, 31/2+"
3070.5 7,(31/2-),255.8 3,100,,(29/2-)
3094.7 5,(33/2-),555.4 3,100,,(29/2-)
3105.2 4,(33/2-),"487.6 3 ,    565.8 3","63 8 ,    100 23",",","(29/2-), (29/2-)"
3159.4 6,(33/2-),"293.8 3 ,    563.3 3","100 28 ,     45 7",",","(31/2-), (29/2-)"
3251.5 6,37/2+,649.9 3,100,E2,33/2+
3320.0 6,(33/2+),"304.8 3 ,    590.7 3","69 18 ,    100 33",",","(31/2+), (29/2+)"
3346.9 7,(33/2-),"276.4 3 ,    532.2 3","100 17 ,     29 7",",","(31/2-), (29/2-)"
3382.7 6,(35/2-),564.4 3,100,,(31/2-)
3474.8 6,(35/2-),"315.5 3 ,    609.3 3","100 33 ,     76 13",",","(33/2-), (31/2-)"
3625.5 7,(35/2-),655.9 3,100,,(31/2-)
3640.0 5,(37/2-),"535 1 ?,    545.3 3 ,    638.4 3","≤6,     19 8 ,    100 13",", E2,","(33/2-), (33/2-), (33/2-)"
3642.2 7,(35/2-),"295.3 3 ,    571.7 3","100 29 ,     66 11",",","(33/2-), (31/2-)"
3643.1 6,(35/2+),"323.1 3 ,    628.1 3","70 32 ,    100 24",",","(33/2+), (31/2+)"
3660.9 5,(37/2-),659.4 3,100,,(33/2-)
3685.5 5,(37/2-),"580.3 3 ,    590.8 3","71 24 ,    100 29",", (E2)","(33/2-), (33/2-)"
3701.9 6,39/2+,673.7 3,100,E2,35/2+
3811.1 7,(37/2-),"336.3 3 ,    651.8 3","100 30 ,     73 15",",","(35/2-), (33/2-)"
3954.5 6,(41/2+),703.0 3,100,,37/2+
3959.0 7,(37/2-),"316.8 3 ,    612.1 3 ?","100 34 ,    ≤17",",","(35/2-), (33/2-)"
3976.6 7,(39/2-),593.9 3,100,,(35/2-)
3982.6 6,(37/2+),"339.6 3 ,    662.5 3","64 21 ,    100 43",",","(35/2+), (33/2+)"
4166.1 7,(39/2-),"355.0 3 ,    691.3 3 ?","88 42 ,    100 29",",","(37/2-), (35/2-)"
4256.4 5,(41/2-),"595.4 3 ,    616.4 3","38 8 ,    100 31",",","(37/2-), (37/2-)"
4298.9 8,(39/2-),339.9 3,100,,(37/2-)
4314.0 6,(41/2-),628.5 3,100,,(37/2-)
4324.6 8,(39/2-),699.0 3,100,,(35/2-)
4342.6 6,(39/2+),"360.0 3 ,    699.5 3","100 29 ,     48 24",",","(37/2+), (35/2+)"
4414.6 7,(43/2+),712.7 3,100,,39/2+
4616.2 8,(43/2-),639.6 3,100,,(39/2-)
4661 2,(41/2-),362 1 ?,100,,(39/2-)
4703.5 7,(45/2+),749.0 3,100,,(41/2+)
4717 1,(41/2+),734 1 ?,100,,(37/2+)
4930.4 6,(45/2-),674.0 3,100,,(41/2-)
4985 1,(45/2-),671 1,100,,(41/2-)
5070 2,(43/2-),745 1 ?,100,,(39/2-)
5166.7 7,(47/2+),752.1 3,100,,(43/2+)
5312.8 8,(47/2-),696.6 3,100,,(43/2-)
5493.7 8,(49/2+),790.2 3,100,,(45/2+)
5664 1,(49/2-),734 1 ?,100,,(45/2-)
5970.2 8,(51/2+),803.5 3,100,,(47/2+)
6070.2 9,(51/2-),757.4 3,100,,(47/2-)
6330.1 8,(53/2+),836.4 3,100,,(49/2+)
6826.3 8,(55/2+),856.1 3,100,,(51/2+)
6885 2,(55/2-),815 1,100,,(51/2-)
7204 2,(57/2+),874 1,100,,(53/2+)
