E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ)
3742.44 16,,"1023.636 24 ,   1542.51 25 ,   1910.4 4 ,   1933.72 8 ,   3454.0 3","100.0 24 ,     16 3 ,     11 3 ,     57 4 ,     47 4",", , , ,"
3780 20,7+,,,
3797.98 17,,"2158.12 17 ,   3290.3 13","100 11 ,     47 13",","
3827.6 3,,"1059.50 10 ,   3320.6 4","68 6 ,    100 13",","
3841.2 6,-9,1017.94,100,
3871.1 6,"3-,4-",3328.2 6,100,
3914.8 8,,"3407.9 9 ,   3639.6 17","100 25 ,     39 19",","
3928.0 9,,2720.1 9,100,
≈3949,,,,
≈3987,,,,
≈4005?,"3-,4-",,,
4012.16 16,"3,4",1075.67 7,100,
≈4024,,,,
4040 30,7+,,,
≈4049,,,,
≈4067,"3-,4-",,,
≈4085,,,,
4100.97 21,,"968.74 22 ,   3823.54 23 ,   4043.6 8","21 5 ,    100 7 ,     26 6",", ,"
4112.5 4,,4112.3 4,100,
≈4134,,,,
4156.57 18,"3-,4-",,,
≈4166,,,,
4194.0 4,,"3651.1 5 ,   3758.1 5","73 12 ,    100 14",","
≈4206?,,,,
4212.8 7,"3,4",3669.9 7,100,
4253.9 3,,3248.0 3,100,
4270.02 24,"3-,4-",2482.35 23,100,
4277.0 6,-10,"435.76 20 ,    630.37 10","12 4 ,    100 4",","
4280 30,,,,
4292.05 12,,"1195.69 8 ,   3677.38 25","38.7 25 ,    100 7",","
4297.8 4,,2789.4 4,100,
≈4307,,,,
≈4325,,,,
≈4341,,,,
≈4365,"3-,4-",,,
≈4390,"3-,4-",,,
≈4408,,,,
≈4420,,,,
≈4452,,,,
4485 10,,,,
≈4507?,,,,
4514.0 4,,"1429.31 14 ,   1704.21 7 ,   2661.1 4","55 6 ,    100 6 ,     36 7",", ,"
≈4523?,,,,
4540.7 12,,3997.7 12,100,
4550 30,7+,,,
≈4563,,,,
≈4594?,,,,
4600.97 17,,"3815.06 17 ,   4312.8 4","100 6 ,     47 6",","
≈4610?,,,,
≈4626,,,,
≈4668,,,,
≈4698,"3-,4-",,,
4700 30,7+,,,
≈4713,,,,
4752.33 12,,"2399.6 3 ,   3966.60 11 ,   4245.3 9","19.0 25 ,    100 5 ,      5.9 15",", ,"
≈4773,,,,
≈4786,,,,
4800 30,7+,,,
4800.1 3,"3-,4-","1998.48 14 ,   3349.2 6 ,   4799.5 4","1.0E+2 1 ,     44 8 ,     40 5",", ,"
4811.3 5,,3302.9 5,100,
4827.5 7,-11,550.5 4,100,
≈4841,,,,
≈4864,,,,
4874.2 9,,3493.1 9,100,
≈4893,,,,
≈4917,"3-,4-",,,
≈4932,,,,
≈4965,,,,
≈4980,,,,
≈4995,,,,
≈5014,,,,
≈5031,,,,
≈5057,,,,
≈5083,,,,
≈5098,,,,
≈5113,,,,
≈5133,,,,
≈5146,,,,
5160.8 6,-11,883.79 11,100,
≈5189,,,,
≈5202,,,,
≈5243,,,,
≈5271,,,,
≈5291,,,,
≈5306,,,,
≈5326,,,,
≈5350,,,,
≈5372,,,,
≈5394,,,,
≈5411,,,,
≈5424,,,,
≈5440,,,,
≈5456,,,,
≈5471,,,,
≈5488,,,,
≈5529,,,,
≈5545,,,,
≈5560,,,,
5575.6 8,,748.1 3,100,
≈5591,,,,
≈5610,,,,
≈5638,,,,
≈5655,,,,
≈5670,,,,
≈5684,,,,
≈5705,,,,
≈5731,,,,
≈5750,,,,
≈5773,,,,
≈5809,,,,
≈5822,,,,
≈5838,,,,
≈5852,,,,
≈5871,,,,
≈5889,,,,
≈5928,,,,
≈5943,,,,
≈5955,,,,
≈5973,,,,
≈5987,,,,
≈5999,,,,
≈6013,,,,
≈6027,,,,
≈6047,,,,
≈6066,,,,
≈6088,,,,
≈6104,,,,
≈6129,,,,
≈6146,,,,
≈6165,,,,
≈6180,,,,
≈6198,,,,
