E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
336,nan,nan,nan,E 2,,,
435.4,nan,nan,nan,E 2,,,
451.5,nan,nan,nan,E 2,,,
508.6,nan,nan,nan,E 2,,,
536,nan,nan,nan,E 2,,,
567.4,nan,nan,nan,E 2,,,
613.7,nan,nan,nan,E 2,,,
704.2,nan,nan,nan,E 2,,,
797.5,nan,nan,nan,E 2,,,
862.2,nan,nan,nan,E 2,,,
895,nan,nan,nan,E 2,,,
896,nan,nan,nan,E 2,,,
1002.6,nan,nan,nan,E 2,,,
1060,nan,nan,nan,E 2,,,
1078.3,nan,nan,nan,E 2,,,
1208.4,nan,nan,nan,E 2,,,
1225.8,nan,nan,nan,E 2,,,
1294.4,nan,nan,nan,E 2,,,
1317.5,nan,nan,nan,E 2,,,
1330.5,nan,nan,nan,E 2,,,
1355.2,nan,nan,nan,E 2,,,
1467.2,nan,nan,nan,E 2,,,
1473.2,nan,nan,nan,E 2,,,
1498.1,nan,nan,nan,E 2,,,
1521,nan,nan,nan,E 2,,,
1700.5,≤ 5 ns,nan,nan,E 2,,,
1722.3,nan,nan,nan,E 2,,,
1796.4,nan,nan,nan,E 2,,,
1812.9,nan,nan,nan,E 2,,,
1817.3,nan,nan,nan,E 2,,,
1822.4,nan,nan,nan,E 2,,,
1832.5,nan,nan,nan,E 2,,,
1982.1,19.5 ns 6,nan,nan,E 2,,,
1989.5,nan,nan,nan,E 2,,,
2006.5,nan,nan,nan,E 2,,,
2014.3,nan,nan,nan,E 2,,,
2145.3,nan,nan,nan,E 2,,,
2191,nan,nan,nan,E 2,,,
2223.1,nan,nan,nan,E 2,,,
2263.6,nan,nan,nan,E 2,,,
2354.2,nan,nan,nan,E 2,,,
2357.9,nan,nan,nan,E 2,,,
2392.7,nan,nan,nan,E 2,,,
2397.8,nan,nan,nan,E 2,,,
2464.8,nan,nan,nan,E 2,,,
2539.4,nan,nan,nan,E 2,,,
2596.2,nan,nan,nan,E 2,,,
2601.6,nan,nan,nan,E 2,,,
2617.6,nan,nan,nan,E 2,,,
2729.3,nan,nan,nan,E 2,,,
2814.7,≤ 3.5 ns,nan,nan,E 2,,,
2818.3,nan,nan,nan,E 2,,,
2865.5,nan,nan,nan,E 2,,,
2969.6,nan,nan,nan,E 2,,,
3001.5,nan,nan,nan,E 2,,,
3015,nan,nan,nan,E 2,,,
3028.2,nan,nan,nan,E 2,,,
3070.5,nan,nan,nan,E 2,,,
3094.7,nan,nan,nan,E 2,,,
3105.2,nan,nan,nan,E 2,,,
3159.4,nan,nan,nan,E 2,,,
3251.5,nan,nan,nan,E 2,,,
3320,nan,nan,nan,E 2,,,
3346.9,nan,nan,nan,E 2,,,
3382.7,nan,nan,nan,E 2,,,
3474.8,nan,nan,nan,E 2,,,
3625.5,nan,nan,nan,E 2,,,
3640,nan,nan,nan,E 2,,,
3642.2,nan,nan,nan,E 2,,,
3643.1,nan,nan,nan,E 2,,,
3660.9,nan,nan,nan,E 2,,,
3685.5,nan,nan,nan,E 2,,,
3701.9,nan,nan,nan,E 2,,,
3811.1,nan,nan,nan,E 2,,,
3954.5,nan,nan,nan,E 2,,,
3959,nan,nan,nan,E 2,,,
3976.6,nan,nan,nan,E 2,,,
3982.6,nan,nan,nan,E 2,,,
4166.1,nan,nan,nan,E 2,,,
4256.4,nan,nan,nan,E 2,,,
4298.9,nan,nan,nan,E 2,,,
4314,nan,nan,nan,E 2,,,
4324.6,nan,nan,nan,E 2,,,
4342.6,nan,nan,nan,E 2,,,
4414.6,nan,nan,nan,E 2,,,
4616.2,nan,nan,nan,E 2,,,
4661,nan,nan,nan,E 2,,,
4703.5,nan,nan,nan,E 2,,,
4717,nan,nan,nan,E 2,,,
4930.4,nan,nan,nan,E 2,,,
4985,nan,nan,nan,E 2,,,
5070,nan,nan,nan,E 2,,,
5166.7,nan,nan,nan,E 2,,,
5312.8,nan,nan,nan,E 2,,,
5493.7,nan,nan,nan,E 2,,,
5664,nan,nan,nan,E 2,,,
5970.2,nan,nan,nan,E 2,,,
6070.2,nan,nan,nan,E 2,,,
6330.1,nan,nan,nan,E 2,,,
6826.3,nan,nan,nan,E 2,,,
6885,nan,nan,nan,E 2,,,
7204,nan,nan,nan,E 2,,,
X,nan,nan,nan,E 2,,,
692+X,nan,nan,nan,E 2,,,
1425+X,nan,nan,nan,E 2,,,
2199+X,nan,nan,nan,E 2,,,
3011+X,nan,nan,nan,E 2,,,
3867+X,nan,nan,nan,E 2,,,
4773+X,nan,nan,nan,E 2,,,
5731+X,nan,nan,nan,E 2,,,
6745+X,nan,nan,nan,E 2,,,
7818+X,nan,nan,nan,E 2,,,
8953+X,nan,nan,nan,E 2,,,
10153+X,nan,nan,nan,E 2,,,
11418+X,nan,nan,nan,E 2,,,
12751+X,nan,nan,nan,E 2,,,
14151+X,nan,nan,nan,E 2,,,
15620+X,nan,nan,nan,E 2,,,
