E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
797.5 3,(15/2-),183.8 3,100.0 18,E 2,,,
797.5 3,(15/2-),346.1 3,34 4,E 2,,,
797.5 3,(15/2-),346.1 3,100.0 18,E 2,,,
811.7 1,5/2-,549.6 2,62 18,E 2,,,
811.7 1,5/2-,549.6 2,12 3,E 2,,,
811.7 1,5/2-,549.6 2,100 26,E 2,,,
811.7 1,5/2-,549.6 2,≈18,E 2,,,
811.7 1,5/2-,549.6 2,68 18,E 2,,,
811.7 1,5/2-,569.6 2,62 18,E 2,,,
811.7 1,5/2-,569.6 2,12 3,E 2,,,
811.7 1,5/2-,569.6 2,100 26,E 2,,,
811.7 1,5/2-,569.6 2,≈18,E 2,,,
811.7 1,5/2-,569.6 2,68 18,E 2,,,
811.7 1,5/2-,730.6 2,62 18,E 2,,,
811.7 1,5/2-,730.6 2,12 3,E 2,,,
811.7 1,5/2-,730.6 2,100 26,E 2,,,
811.7 1,5/2-,730.6 2,≈18,E 2,,,
811.7 1,5/2-,730.6 2,68 18,E 2,,,
811.7 1,5/2-,742.0 4,62 18,E 2,,,
811.7 1,5/2-,742.0 4,12 3,E 2,,,
811.7 1,5/2-,742.0 4,100 26,E 2,,,
811.7 1,5/2-,742.0 4,≈18,E 2,,,
811.7 1,5/2-,742.0 4,68 18,E 2,,,
811.7 1,5/2-,811.7 2,62 18,E 2,,,
811.7 1,5/2-,811.7 2,12 3,E 2,,,
811.7 1,5/2-,811.7 2,100 26,E 2,,,
811.7 1,5/2-,811.7 2,≈18,E 2,,,
811.7 1,5/2-,811.7 2,68 18,E 2,,,
862.2 3,15/2-,326 1,35.8 25,E 2,,,
862.2 3,15/2-,326 1,100 2,E 2,,,
862.2 3,15/2-,353.6 3,35.8 25,E 2,,,
862.2 3,15/2-,353.6 3,100 2,E 2,,,
895.0 4,17/2-,359.0 3,100 0,E 2,,,
896.0 3,19/2+,191.7 3,33 3,E 2,,,
896.0 3,19/2+,191.7 3,33 3,E 2,,,
896.0 3,19/2+,191.7 3,100 6,E 2,,,
896.0 3,19/2+,191.7 3,100 6,E 2,,,
896.0 3,19/2+,328.7 3,33 3,E 2,,,
896.0 3,19/2+,328.7 3,33 3,E 2,,,
896.0 3,19/2+,328.7 3,100 6,E 2,,,
896.0 3,19/2+,328.7 3,100 6,E 2,,,
927.5 1,3/2-,685.6 2,27 7,E 2,,,
927.5 1,3/2-,685.6 2,100 27,E 2,,,
927.5 1,3/2-,685.6 2,62 15,E 2,,,
927.5 1,3/2-,846.1 2,27 7,E 2,,,
927.5 1,3/2-,846.1 2,100 27,E 2,,,
927.5 1,3/2-,846.1 2,62 15,E 2,,,
927.5 1,3/2-,857.6 2,27 7,E 2,,,
927.5 1,3/2-,857.6 2,100 27,E 2,,,
927.5 1,3/2-,857.6 2,62 15,E 2,,,
927.5 1,2-May,685.6 2,27 7,E 2,,,
927.5 1,2-May,685.6 2,100 27,E 2,,,
927.5 1,2-May,685.6 2,62 15,E 2,,,
927.5 1,2-May,846.1 2,27 7,E 2,,,
927.5 1,2-May,846.1 2,100 27,E 2,,,
927.5 1,2-May,846.1 2,62 15,E 2,,,
927.5 1,2-May,857.6 2,27 7,E 2,,,
927.5 1,2-May,857.6 2,100 27,E 2,,,
927.5 1,2-May,857.6 2,62 15,E 2,,,
927.5 1,7/2-,685.6 2,27 7,E 2,,,
927.5 1,7/2-,685.6 2,100 27,E 2,,,
927.5 1,7/2-,685.6 2,62 15,E 2,,,
927.5 1,7/2-,846.1 2,27 7,E 2,,,
927.5 1,7/2-,846.1 2,100 27,E 2,,,
927.5 1,7/2-,846.1 2,62 15,E 2,,,
927.5 1,7/2-,857.6 2,27 7,E 2,,,
927.5 1,7/2-,857.6 2,100 27,E 2,,,
927.5 1,7/2-,857.6 2,62 15,E 2,,,
942.8 1,7/2-,434.3 1,4.5 12,E 2,,,
942.8 1,7/2-,434.3 1,7.6 20,E 2,,,
942.8 1,7/2-,434.3 1,100 8,E 2,,,
942.8 1,7/2-,434.3 1,7.6 20,E 2,,,
942.8 1,7/2-,434.3 1,61 15,E 2,,,
942.8 1,7/2-,680.2 2,4.5 12,E 2,,,
942.8 1,7/2-,680.2 2,7.6 20,E 2,,,
942.8 1,7/2-,680.2 2,100 8,E 2,,,
942.8 1,7/2-,680.2 2,7.6 20,E 2,,,
942.8 1,7/2-,680.2 2,61 15,E 2,,,
942.8 1,7/2-,700.6 2,4.5 12,E 2,,,
942.8 1,7/2-,700.6 2,7.6 20,E 2,,,
942.8 1,7/2-,700.6 2,100 8,E 2,,,
942.8 1,7/2-,700.6 2,7.6 20,E 2,,,
942.8 1,7/2-,700.6 2,61 15,E 2,,,
942.8 1,7/2-,861.7 2,4.5 12,E 2,,,
942.8 1,7/2-,861.7 2,7.6 20,E 2,,,
942.8 1,7/2-,861.7 2,100 8,E 2,,,
942.8 1,7/2-,861.7 2,7.6 20,E 2,,,
942.8 1,7/2-,861.7 2,61 15,E 2,,,
942.8 1,7/2-,873.0 2,4.5 12,E 2,,,
942.8 1,7/2-,873.0 2,7.6 20,E 2,,,
942.8 1,7/2-,873.0 2,100 8,E 2,,,
942.8 1,7/2-,873.0 2,7.6 20,E 2,,,
942.8 1,7/2-,873.0 2,61 15,E 2,,,
958.3 1,2-Mar,851.0 2,24 6,E 2,,,
958.3 1,2-Mar,851.0 2,69 17,E 2,,,
958.3 1,2-Mar,851.0 2,36 9,E 2,,,
958.3 1,2-Mar,851.0 2,100 28,E 2,,,
958.3 1,2-Mar,876.6 2,24 6,E 2,,,
958.3 1,2-Mar,876.6 2,69 17,E 2,,,
958.3 1,2-Mar,876.6 2,36 9,E 2,,,
958.3 1,2-Mar,876.6 2,100 28,E 2,,,
958.3 1,2-Mar,888.7 2,24 6,E 2,,,
958.3 1,2-Mar,888.7 2,69 17,E 2,,,
958.3 1,2-Mar,888.7 2,36 9,E 2,,,
958.3 1,2-Mar,888.7 2,100 28,E 2,,,
958.3 1,2-Mar,958.6 2,24 6,E 2,,,
958.3 1,2-Mar,958.6 2,69 17,E 2,,,
958.3 1,2-Mar,958.6 2,36 9,E 2,,,
958.3 1,2-Mar,958.6 2,100 28,E 2,,,
958.3 1,5/2-,851.0 2,24 6,E 2,,,
958.3 1,5/2-,851.0 2,69 17,E 2,,,
958.3 1,5/2-,851.0 2,36 9,E 2,,,
958.3 1,5/2-,851.0 2,100 28,E 2,,,
958.3 1,5/2-,876.6 2,24 6,E 2,,,
958.3 1,5/2-,876.6 2,69 17,E 2,,,
958.3 1,5/2-,876.6 2,36 9,E 2,,,
958.3 1,5/2-,876.6 2,100 28,E 2,,,
958.3 1,5/2-,888.7 2,24 6,E 2,,,
958.3 1,5/2-,888.7 2,69 17,E 2,,,
958.3 1,5/2-,888.7 2,36 9,E 2,,,
958.3 1,5/2-,888.7 2,100 28,E 2,,,
958.3 1,5/2-,958.6 2,24 6,E 2,,,
958.3 1,5/2-,958.6 2,69 17,E 2,,,
958.3 1,5/2-,958.6 2,36 9,E 2,,,
958.3 1,5/2-,958.6 2,100 28,E 2,,,
1002.6 3,(17/2-),205.1 3,26 10,E 2,,,
1002.6 3,(17/2-),205.1 3,100 2,E 2,,,
1002.6 3,(17/2-),388.9 3,26 10,E 2,,,
1002.6 3,(17/2-),388.9 3,100 2,E 2,,,
1020.1 1,5/2-,707.9 2,10 3,E 2,,,
1020.1 1,5/2-,707.9 2,100 28,E 2,,,
1020.1 1,5/2-,707.9 2,62 17,E 2,,,
1020.1 1,5/2-,707.9 2,21 5,E 2,,,
1020.1 1,5/2-,707.9 2,48 14,E 2,,,
1020.1 1,5/2-,778.2 2,10 3,E 2,,,
1020.1 1,5/2-,778.2 2,100 28,E 2,,,
1020.1 1,5/2-,778.2 2,62 17,E 2,,,
1020.1 1,5/2-,778.2 2,21 5,E 2,,,
1020.1 1,5/2-,778.2 2,48 14,E 2,,,
1020.1 1,5/2-,822.8 2,10 3,E 2,,,
1020.1 1,5/2-,822.8 2,100 28,E 2,,,
1020.1 1,5/2-,822.8 2,62 17,E 2,,,
1020.1 1,5/2-,822.8 2,21 5,E 2,,,
1020.1 1,5/2-,822.8 2,48 14,E 2,,,
1020.1 1,5/2-,938.7 2,10 3,E 2,,,
1020.1 1,5/2-,938.7 2,100 28,E 2,,,
1020.1 1,5/2-,938.7 2,62 17,E 2,,,
1020.1 1,5/2-,938.7 2,21 5,E 2,,,
1020.1 1,5/2-,938.7 2,48 14,E 2,,,
1020.1 1,5/2-,950.4 2,10 3,E 2,,,
1020.1 1,5/2-,950.4 2,100 28,E 2,,,
1020.1 1,5/2-,950.4 2,62 17,E 2,,,
1020.1 1,5/2-,950.4 2,21 5,E 2,,,
1020.1 1,5/2-,950.4 2,48 14,E 2,,,
1020.1 1,7/2-,707.9 2,10 3,E 2,,,
1020.1 1,7/2-,707.9 2,100 28,E 2,,,
