E(level)(keV),JPi(level),E()(keV),I(),M()
1207.83 3,5+,930.614 17,40 4,E 2
1207.83 3,5+,1207.96 7,100.0 18,E 2
1207.83 3,5+,1207.96 7,40 4,E 2
1216.45 18,6+,779.91 16 ?,35 7,E 2
1216.45 18,6+,779.91 16 ?,100,E 2
1216.45 18,6+,1216.44 18,35 7,E 2
1216.45 18,6+,1216.44 18,100,E 2
1216.85 3,4,710.648 10,100.0 13,E 2
1216.85 3,4,710.648 10,23.8 7,E 2
1216.85 3,4,928.42 3,100.0 13,E 2
1216.85 3,4,928.42 3,23.8 7,E 2
1341.86 3,3+,799.03 3,54.0 15,E 2
1341.86 3,3+,799.03 3,100 3,E 2
1341.86 3,3+,799.03 3,6.7 19,E 2
1341.86 3,3+,1283.27 3,54.0 15,E 2
1341.86 3,3+,1283.27 3,100 3,E 2
1341.86 3,3+,1283.27 3,6.7 19,E 2
1341.86 3,3+,1341.2 3,54.0 15,E 2
1341.86 3,3+,1341.2 3,100 3,E 2
1341.86 3,3+,1341.2 3,6.7 19,E 2
1379.74 6,6+,172.1 4,19 6,E 2
1379.74 6,6+,172.1 4,100 6,E 2
1379.74 6,6+,944.05 5,19 6,E 2
1379.74 6,6+,944.05 5,100 6,E 2
1380.97 4,3+,1103.76 3,100,E 2
1451.21 3,4+,665.52 4,71 3,E 2
1451.21 3,4+,665.52 4,100 4,E 2
1451.21 3,4+,908.37 3,71 3,E 2
1451.21 3,4+,908.37 3,100 4,E 2
1508.30 9,"2+,3+",1002.09 8,100,E 2
1510 10,7+,nan,nan,E 2
1515.80 3,4+,901.282 15,17.1 3,E 2
1515.80 3,4+,901.282 15,12.0 3,E 2
1515.80 3,4+,901.282 15,100 3,E 2
1515.80 3,4+,1238.561 22,17.1 3,E 2
1515.80 3,4+,1238.561 22,12.0 3,E 2
1515.80 3,4+,1238.561 22,100 3,E 2
1515.80 3,4+,1515.748 14,17.1 3,E 2
1515.80 3,4+,1515.748 14,12.0 3,E 2
1515.80 3,4+,1515.748 14,100 3,E 2
1565.94 3,2,224.1 3,14.9 21,E 2
1565.94 3,2,224.1 3,28.2 9,E 2
1565.94 3,2,224.1 3,100 3,E 2
1565.94 3,2,1277.49 3,14.9 21,E 2
1565.94 3,2,1277.49 3,28.2 9,E 2
1565.94 3,2,1277.49 3,100 3,E 2
1565.94 3,2,1507.348 23,14.9 21,E 2
1565.94 3,2,1507.348 23,28.2 9,E 2
1565.94 3,2,1507.348 23,100 3,E 2
1639.84 3,"3+,4+,5+",854.147 22,100.0 23,E 2
1639.84 3,"3+,4+,5+",854.147 22,43.6 23,E 2
1639.84 3,"3+,4+,5+",1362.49 6,100.0 23,E 2
1639.84 3,"3+,4+,5+",1362.49 6,43.6 23,E 2
≈1669?,,nan,nan,E 2
1686.21 5,1+,947.41 4,100,E 2
1709.68 13,,1651.05 13,100,E 2
1749.29 3,3+,963.57 3,54.2 17,E 2
1749.29 3,3+,963.57 3,34 5,E 2
1749.29 3,3+,963.57 3,94 3,E 2
1749.29 3,3+,963.57 3,100 5,E 2
1749.29 3,3+,1206.66 12,54.2 17,E 2
1749.29 3,3+,1206.66 12,34 5,E 2
1749.29 3,3+,1206.66 12,94 3,E 2
1749.29 3,3+,1206.66 12,100 5,E 2
1749.29 3,3+,1472.01 3,54.2 17,E 2
1749.29 3,3+,1472.01 3,34 5,E 2
1749.29 3,3+,1472.01 3,94 3,E 2
1749.29 3,3+,1472.01 3,100 5,E 2
1749.29 3,3+,1690.74 4,54.2 17,E 2
1749.29 3,3+,1690.74 4,34 5,E 2
1749.29 3,3+,1690.74 4,94 3,E 2
1749.29 3,3+,1690.74 4,100 5,E 2
1787.62 4,5(+),781.81 3,100 3,E 2
1787.62 4,5(+),781.81 3,43 15,E 2
1787.62 4,5(+),1787.4 3,100 3,E 2
1787.62 4,5(+),1787.4 3,43 15,E 2
1800.22 15,(6)-,420.86 19,1.1 11,E 1
1800.22 15,(6)-,420.86 19,6.5 22,E 1
1800.22 15,(6)-,420.86 19,100.0 22,E 1
1800.22 15,(6)-,584.43 10,1.1 11,E 1
1800.22 15,(6)-,584.43 10,6.5 22,E 1
1800.22 15,(6)-,584.43 10,100.0 22,E 1
1800.22 15,(6)-,1799.70 22,1.1 11,E 1
1800.22 15,(6)-,1799.70 22,6.5 22,E 1
1800.22 15,(6)-,1799.70 22,100.0 22,E 1
1808.63 15,4-,1808.37 18,100,E 2
1830.80 2,4+,1553.68 6,7.1 4,E 2
1830.80 2,4+,1553.68 6,100 4,E 2
1830.80 2,4+,1830.763 21,7.1 4,E 2
1830.80 2,4+,1830.763 21,100 4,E 2
1833.23 4,,1774.62 3,100,E 2
1852.71 4,4+,1852.678 25,100,E 2
1877.15 5,2,1262.56 10,17.2 14,E 2
1877.15 5,2,1262.56 10,100 6,E 2
1877.15 5,2,1818.54 5,17.2 14,E 2
1877.15 5,2,1818.54 5,100 6,E 2
1888.90 4,4+,883.20 5,36.5 18,E 2
1888.90 4,4+,883.20 5,100 3,E 2
1888.90 4,4+,883.20 5,50 4,E 2
1888.90 4,4+,1274.26 3,36.5 18,E 2
1888.90 4,4+,1274.26 3,100 3,E 2
1888.90 4,4+,1274.26 3,50 4,E 2
1888.90 4,4+,1889.04 8,36.5 18,E 2
