E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,Z
4641.4,nan,nan,nan,E 2,,,
4671,nan,nan,nan,E 2,,,
4677.4,nan,nan,nan,E 2,,,
4823.5,nan,nan,nan,E 2,,,
4937.1,nan,nan,nan,E 2,,,
5005.6,nan,nan,nan,E 2,,,
5031.3,nan,nan,nan,E 2,,,
5071.4,nan,nan,nan,E 2,,,
5086.9,nan,nan,nan,E 2,,,
5089.6,nan,nan,nan,E 2,,,
5121.7,nan,nan,nan,E 2,,,
5157.5,nan,nan,nan,E 2,,,
5214.3,nan,nan,nan,E 2,,,
5253.3,nan,nan,nan,E 2,,,
5313,nan,nan,nan,E 2,,,
5409.9,nan,nan,nan,E 2,,,
5410,nan,nan,nan,E 2,,,
5510.5,nan,nan,nan,E 2,,,
5665.9,nan,nan,nan,E 2,,,
5672.7,nan,nan,nan,E 2,,,
5678.8,nan,nan,nan,E 2,,,
5720.4,nan,nan,nan,E 2,,,
5784.4,nan,nan,nan,E 2,,,
5798.5,nan,nan,nan,E 2,,,
5851.7,nan,nan,nan,E 2,,,
5897.3,nan,nan,nan,E 2,,,
5926.9,nan,nan,nan,E 2,,,
5986,nan,nan,nan,E 2,,,
5987.8,nan,nan,nan,E 2,,,
6201.2,nan,nan,nan,E 2,,,
6243,nan,nan,nan,E 2,,,
6331,nan,nan,nan,E 2,,,
6356.4,nan,nan,nan,E 2,,,
6385.7,nan,nan,nan,E 2,,,
6441.4,nan,nan,nan,E 2,,,
6531,nan,nan,nan,E 2,,,
6536.5,nan,nan,nan,E 2,,,
6615,nan,nan,nan,E 2,,,
6641.3,nan,nan,nan,E 2,,,
6650.6,nan,nan,nan,E 2,,,
6665.5,nan,nan,nan,E 2,,,
6978,nan,nan,nan,E 2,,,
7030.1,nan,nan,nan,E 2,,,
7078.2,nan,nan,nan,E 2,,,
7137.4,nan,nan,nan,E 2,,,
7145,nan,nan,nan,E 2,,,
7199.4,nan,nan,nan,E 2,,,
7314,nan,nan,nan,E 2,,,
7342,nan,nan,nan,E 2,,,
7363.6,nan,nan,nan,E 2,,,
7392.1,nan,nan,nan,E 2,,,
7444,nan,nan,nan,E 2,,,
7481.1,nan,nan,nan,E 2,,,
7770,nan,nan,nan,E 2,,,
7894.7,nan,nan,nan,E 2,,,
7899,nan,nan,nan,E 2,,,
7954,nan,nan,nan,E 2,,,
8007,nan,nan,nan,E 2,,,
8017.3,nan,nan,nan,E 2,,,
8062.7,nan,nan,nan,E 2,,,
8222,nan,nan,nan,E 2,,,
8303,nan,nan,nan,E 2,,,
8375.4,nan,nan,nan,E 2,,,
8767,nan,nan,nan,E 2,,,
8800.7,nan,nan,nan,E 2,,,
8808.1,nan,nan,nan,E 2,,,
8817,nan,nan,nan,E 2,,,
8871,nan,nan,nan,E 2,,,
8980,nan,nan,nan,E 2,,,
9116,nan,nan,nan,E 2,,,
9216,nan,nan,nan,E 2,,,
9337.8,nan,nan,nan,E 2,,,
9635,nan,nan,nan,E 2,,,
9682,nan,nan,nan,E 2,,,
9734,nan,nan,nan,E 2,,,
9753.5,nan,nan,nan,E 2,,,
9771,nan,nan,nan,E 2,,,
9991.2,nan,nan,nan,E 2,,,
10009,nan,nan,nan,E 2,,,
10167,nan,nan,nan,E 2,,,
10330,nan,nan,nan,E 2,,,
10721,nan,nan,nan,E 2,,,
10747.5,nan,nan,nan,E 2,,,
10933,nan,nan,nan,E 2,,,
10994,nan,nan,nan,E 2,,,
11298,nan,nan,nan,E 2,,,
11751,nan,nan,nan,E 2,,,
11928,nan,nan,nan,E 2,,,
12005,nan,nan,nan,E 2,,,
12289,nan,nan,nan,E 2,,,
12762,nan,nan,nan,E 2,,,
13038,nan,nan,nan,E 2,,,
13328,nan,nan,nan,E 2,,,
13800,nan,nan,nan,E 2,,,
14096,nan,nan,nan,E 2,,,
14424,nan,nan,nan,E 2,,,
14879,nan,nan,nan,E 2,,,
15575,nan,nan,nan,E 2,,,
16006,nan,nan,nan,E 2,,,
0.0+X,nan,nan,nan,E 2,,,
236.0+X,nan,nan,nan,E 2,,,
486.0+X,nan,nan,nan,E 2,,,
759.0+X,nan,nan,nan,E 2,,,
1064.1+X,nan,nan,nan,E 2,,,
1387.7+X,nan,nan,nan,E 2,,,
1734.9+X,nan,nan,nan,E 2,,,
2095.8+X,nan,nan,nan,E 2,,,
2475.9+X,nan,nan,nan,E 2,,,
2860.7+X,nan,nan,nan,E 2,,,
3256.1+X,nan,nan,nan,E 2,,,
3665.0+X,nan,nan,nan,E 2,,,
4083.1+X,nan,nan,nan,E 2,,,
0.0+Y,nan,nan,nan,E 2,,,
204.0+Y,nan,nan,nan,E 2,,,
438.0+Y,nan,nan,nan,E 2,,,
697.0+Y,nan,nan,nan,E 2,,,
977.0+Y,nan,nan,nan,E 2,,,
1274.0+Y,nan,nan,nan,E 2,,,
1582.0+Y,nan,nan,nan,E 2,,,
1905.0+Y,nan,nan,nan,E 2,,,
2240.0+Y,nan,nan,nan,E 2,,,
nan,nan,nan,nan,E 2,,,
E(level),Comments,nan,nan,E 2,,,
158.64,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
158.64,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
158.64,M(γ): stretched Q from γ(θ) in (HI,nan,nan,E 2,,,
158.64,xnγ); not M2 from RUL.,nan,nan,E 2,,,
470.46,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
470.46,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
809.96,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
809.96,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
810,nan,nan,nan,E 2,,,
897.17,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
897.17,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1007.16,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1007.16,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
848.41,nan,nan,nan,E 2,,,
1064.99,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1064.99,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1064.99,M(γ): Q from 906γ-159γ(θ) in ε decay.,nan,nan,E 2,,,
1162.7,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1162.7,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1218.76,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1218.76,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1060.2,nan,nan,nan,E 2,,,
1218.8,nan,nan,nan,E 2,,,
1332.41,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1332.41,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1173.74,nan,nan,nan,E 2,,,
1404.85,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1404.85,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
594.65,nan,nan,nan,E 2,,,
1246.37,nan,nan,nan,E 2,,,
1418.9,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1418.9,4nγ).,nan,nan,E 2,,,
949,nan,nan,nan,E 2,,,
1551.39,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1551.39,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1080.86,nan,nan,nan,E 2,,,
1603.05,E(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1603.05,I(γ): From 166Ta ε decay.,nan,nan,E 2,,,
1444.4,nan,nan,nan,E 2,,,
1726.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1726.3,4nγ).,nan,nan,E 2,,,
320,nan,nan,nan,E 2,,,
1841.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1841.1,4nγ).,nan,nan,E 2,,,
2376.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2376.5,4nγ).,nan,nan,E 2,,,
2680.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2680.1,4nγ).,nan,nan,E 2,,,
484,nan,nan,nan,E 2,,,
2734.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2734.6,4nγ).,nan,nan,E 2,,,
2793.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2793.1,4nγ).,nan,nan,E 2,,,
3023.9,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3023.9,4nγ).,nan,nan,E 2,,,
1054,nan,nan,nan,E 2,,,
3085.8,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3085.8,4nγ).,nan,nan,E 2,,,
547,nan,nan,nan,E 2,,,
3231.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3231.4,4nγ).,nan,nan,E 2,,,
737,nan,nan,nan,E 2,,,
3375.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3375.1,4nγ).,nan,nan,E 2,,,
3472.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3472.6,4nγ).,nan,nan,E 2,,,
3515.8,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3515.8,4nγ).,nan,nan,E 2,,,
952,nan,nan,nan,E 2,,,
3585.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3585.6,4nγ).,nan,nan,E 2,,,
3779.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3779.4,4nγ).,nan,nan,E 2,,,
819,nan,nan,nan,E 2,,,
3817.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3817.4,4nγ).,nan,nan,E 2,,,
3835.2,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3835.2,4nγ).,nan,nan,E 2,,,
3920.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3920.3,4nγ).,nan,nan,E 2,,,
3972.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3972.1,4nγ).,nan,nan,E 2,,,
4064.7,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4064.7,4nγ).,nan,nan,E 2,,,
856,nan,nan,nan,E 2,,,
4163.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4163.5,4nγ).,nan,nan,E 2,,,
4228.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4228.5,4nγ).,nan,nan,E 2,,,
4400.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4400.4,4nγ).,nan,nan,E 2,,,
4443.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4443.4,4nγ).,nan,nan,E 2,,,
997,nan,nan,nan,E 2,,,
4459.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4459.3,4nγ).,nan,nan,E 2,,,
4582,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4582,4nγ).,nan,nan,E 2,,,
1373,nan,nan,nan,E 2,,,
1575,nan,nan,nan,E 2,,,
4641.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4641.4,4nγ).,nan,nan,E 2,,,
478,nan,nan,nan,E 2,,,
723,nan,nan,nan,E 2,,,
4677.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4677.4,4nγ).,nan,nan,E 2,,,
844,nan,nan,nan,E 2,,,
4744.9,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4744.9,4nγ).,nan,nan,E 2,,,
299,nan,nan,nan,E 2,,,
1298,nan,nan,nan,E 2,,,
4823.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4823.5,4nγ).,nan,nan,E 2,,,
4937.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4937.1,4nγ).,nan,nan,E 2,,,
355,nan,nan,nan,E 2,,,
1491,nan,nan,nan,E 2,,,
5005.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5005.6,4nγ).,nan,nan,E 2,,,
632,nan,nan,nan,E 2,,,
999,nan,nan,nan,E 2,,,
5031.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5031.3,4nγ).,nan,nan,E 2,,,
657,nan,nan,nan,E 2,,,
1025,nan,nan,nan,E 2,,,
5071.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5071.4,4nγ).,nan,nan,E 2,,,
5086.9,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5086.9,4nγ).,nan,nan,E 2,,,
5086.9,M(γ): From DCO ratios in 96Zr(74Ge,nan,nan,E 2,,,
5086.9,4nγ),nan,nan,E 2,,,
5086.9,assigning intraband stretched Q transitions as (E2).,nan,nan,E 2,,,
5157.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5157.5,4nγ).,nan,nan,E 2,,,
5160,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5160,4nγ).,nan,nan,E 2,,,
415,nan,nan,nan,E 2,,,
1153,nan,nan,nan,E 2,,,
5214.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5214.3,4nγ).,nan,nan,E 2,,,
700,nan,nan,nan,E 2,,,
5313,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5313,4nγ).,nan,nan,E 2,,,
856,nan,nan,nan,E 2,,,
5410,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5410,4nγ).,nan,nan,E 2,,,
473,nan,nan,nan,E 2,,,
5510.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5510.5,4nγ).,nan,nan,E 2,,,
5665.9,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5665.9,4nγ).,nan,nan,E 2,,,
5672.7,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5672.7,4nγ).,nan,nan,E 2,,,
5687.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5687.1,4nγ).,nan,nan,E 2,,,
527,nan,nan,nan,E 2,,,
5720.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5720.4,4nγ).,nan,nan,E 2,,,
1052,nan,nan,nan,E 2,,,
5784.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5784.4,4nγ).,nan,nan,E 2,,,
5798.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5798.5,4nγ).,nan,nan,E 2,,,
1130,nan,nan,nan,E 2,,,
5851.7,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5851.7,4nγ).,nan,nan,E 2,,,
5897.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5897.3,4nγ).,nan,nan,E 2,,,
5986,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5986,4nγ).,nan,nan,E 2,,,
867,nan,nan,nan,E 2,,,
5987.8,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
5987.8,4nγ).,nan,nan,E 2,,,
578,nan,nan,nan,E 2,,,
6243,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6243,4nγ).,nan,nan,E 2,,,
6310.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6310.6,4nγ).,nan,nan,E 2,,,
623,nan,nan,nan,E 2,,,
6331,M(γ): From DCO ratios in 96Zr(74Ge,nan,nan,E 2,,,
6331,4nγ),nan,nan,E 2,,,
6331,assigning intraband stretched Q transitions as (E2).,nan,nan,E 2,,,
6385.7,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6385.7,4nγ).,nan,nan,E 2,,,
6441.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6441.4,4nγ).,nan,nan,E 2,,,
6531,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6531,4nγ).,nan,nan,E 2,,,
6536.5,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6536.5,4nγ).,nan,nan,E 2,,,
6615,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6615,4nγ).,nan,nan,E 2,,,
1208,nan,nan,nan,E 2,,,
6641.3,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6641.3,4nγ).,nan,nan,E 2,,,
6650.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6650.6,4nγ).,nan,nan,E 2,,,
663,nan,nan,nan,E 2,,,
6978,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
6978,4nγ).,nan,nan,E 2,,,
7006.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7006.6,4nγ).,nan,nan,E 2,,,
696,nan,nan,nan,E 2,,,
7078.2,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7078.2,4nγ).,nan,nan,E 2,,,
1155,nan,nan,nan,E 2,,,
7145,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7145,4nγ).,nan,nan,E 2,,,
7199.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7199.4,4nγ).,nan,nan,E 2,,,
7314,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7314,4nγ).,nan,nan,E 2,,,
7342,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7342,4nγ).,nan,nan,E 2,,,
7363.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7363.6,4nγ).,nan,nan,E 2,,,
713,nan,nan,nan,E 2,,,
7392.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7392.1,4nγ).,nan,nan,E 2,,,
1195,nan,nan,nan,E 2,,,
7444,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7444,4nγ).,nan,nan,E 2,,,
7713.6,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7713.6,4nγ).,nan,nan,E 2,,,
707,nan,nan,nan,E 2,,,
7770,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7770,4nγ).,nan,nan,E 2,,,
7899,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7899,4nγ).,nan,nan,E 2,,,
7954,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
7954,4nγ).,nan,nan,E 2,,,
8007,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8007,4nγ).,nan,nan,E 2,,,
8062.7,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8062.7,4nγ).,nan,nan,E 2,,,
699,nan,nan,nan,E 2,,,
8222,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8222,4nγ).,nan,nan,E 2,,,
8303,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8303,4nγ).,nan,nan,E 2,,,
8426.4,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8426.4,4nγ).,nan,nan,E 2,,,
713,nan,nan,nan,E 2,,,
8767,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8767,4nγ).,nan,nan,E 2,,,
8808.1,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8808.1,4nγ).,nan,nan,E 2,,,
745,nan,nan,nan,E 2,,,
8817,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8817,4nγ).,nan,nan,E 2,,,
8871,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
8871,4nγ).,nan,nan,E 2,,,
9116,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9116,4nγ).,nan,nan,E 2,,,
9212,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9212,4nγ).,nan,nan,E 2,,,
786,nan,nan,nan,E 2,,,
9216,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9216,4nγ).,nan,nan,E 2,,,
9635,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9635,4nγ).,nan,nan,E 2,,,
827,nan,nan,nan,E 2,,,
9682,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9682,4nγ).,nan,nan,E 2,,,
9734,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9734,4nγ).,nan,nan,E 2,,,
9771,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
9771,4nγ).,nan,nan,E 2,,,
10009,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
10009,4nγ).,nan,nan,E 2,,,
10080,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
10080,4nγ).,nan,nan,E 2,,,
867,nan,nan,nan,E 2,,,
10167,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
10167,4nγ).,nan,nan,E 2,,,
10721,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
10721,4nγ).,nan,nan,E 2,,,
10933,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
10933,4nγ).,nan,nan,E 2,,,
10994,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
10994,4nγ).,nan,nan,E 2,,,
11298,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
11298,4nγ).,nan,nan,E 2,,,
11751,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
11751,4nγ).,nan,nan,E 2,,,
11928,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
11928,4nγ).,nan,nan,E 2,,,
12005,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
12005,4nγ).,nan,nan,E 2,,,
12289,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
12289,4nγ).,nan,nan,E 2,,,
12762,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
12762,4nγ).,nan,nan,E 2,,,
13038,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
13038,4nγ).,nan,nan,E 2,,,
13328,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
13328,4nγ).,nan,nan,E 2,,,
13800,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
13800,4nγ).,nan,nan,E 2,,,
14096,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
14096,4nγ).,nan,nan,E 2,,,
14424,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
14424,4nγ).,nan,nan,E 2,,,
14879,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
14879,4nγ).,nan,nan,E 2,,,
15575,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
15575,4nγ).,nan,nan,E 2,,,
16006,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
16006,4nγ).,nan,nan,E 2,,,
236.0+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
236.0+X,4nγ).,nan,nan,E 2,,,
486.0+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
486.0+X,4nγ).,nan,nan,E 2,,,
486,nan,nan,nan,E 2,,,
759.0+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
759.0+X,4nγ).,nan,nan,E 2,,,
523,nan,nan,nan,E 2,,,
1064.1+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1064.1+X,4nγ).,nan,nan,E 2,,,
578,nan,nan,nan,E 2,,,
1387.7+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1387.7+X,4nγ).,nan,nan,E 2,,,
629,nan,nan,nan,E 2,,,
1734.9+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1734.9+X,4nγ).,nan,nan,E 2,,,
671,nan,nan,nan,E 2,,,
2095.8+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2095.8+X,4nγ).,nan,nan,E 2,,,
708,nan,nan,nan,E 2,,,
2475.9+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2475.9+X,4nγ).,nan,nan,E 2,,,
741,nan,nan,nan,E 2,,,
2860.7+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2860.7+X,4nγ).,nan,nan,E 2,,,
765,nan,nan,nan,E 2,,,
3256.1+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3256.1+X,4nγ).,nan,nan,E 2,,,
780,nan,nan,nan,E 2,,,
3665.0+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
3665.0+X,4nγ).,nan,nan,E 2,,,
804,nan,nan,nan,E 2,,,
4083.1+X,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
4083.1+X,4nγ).,nan,nan,E 2,,,
827,nan,nan,nan,E 2,,,
204.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
204.0+Y,4nγ).,nan,nan,E 2,,,
438.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
438.0+Y,4nγ).,nan,nan,E 2,,,
438,nan,nan,nan,E 2,,,
697.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
697.0+Y,4nγ).,nan,nan,E 2,,,
493,nan,nan,nan,E 2,,,
977.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
977.0+Y,4nγ).,nan,nan,E 2,,,
539,nan,nan,nan,E 2,,,
1274.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1274.0+Y,4nγ).,nan,nan,E 2,,,
577,nan,nan,nan,E 2,,,
1582.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1582.0+Y,4nγ).,nan,nan,E 2,,,
605,nan,nan,nan,E 2,,,
1905.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
1905.0+Y,4nγ).,nan,nan,E 2,,,
631,nan,nan,nan,E 2,,,
2240.0+Y,E(γ): From 96Zr(74Ge,nan,nan,E 2,,,
2240.0+Y,4nγ).,nan,nan,E 2,,,
658,nan,nan,nan,E 2,,,
