E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,Z
1841.1 6,(6-),944.3 3,34 7,E 2,,,
1841.1 6,(6-),944.3 3,100 10,E 2,,,
1841.1 6,(6-),944.3 3,,E 2,,,
1841.1 6,(6-),944.3 3,90 10,E 2,,,
1971.9 6,10+,565.5 3,100 0,E 2,,,
2078.5 6,(9-),352.2 3,28 3,E 2,,,
2078.5 6,(9-),352.2 3,100 5,E 2,,,
2078.5 6,(9-),672.2 3,28 3,E 2,,,
2078.5 6,(9-),672.2 3,100 5,E 2,,,
2197.3 6,(8-),356.3 3,100 10,E 2,,,
2197.3 6,(8-),356.3 3,80 8,E 2,,,
2197.3 6,(8-),471.0 3,100 10,E 2,,,
2197.3 6,(8-),471.0 3,80 8,E 2,,,
2376.5 16,(8-),537,nan,E 2,,,
2496.7 6,(11-),418.1 3,100 10,E 2,,,
2496.7 6,(11-),418.1 3,62 6,E 2,,,
2496.7 6,(11-),524.7 3,100 10,E 2,,,
2496.7 6,(11-),524.7 3,62 6,E 2,,,
2539.7 6,(10-),342.5 3,100 10,E 2,,,
2539.7 6,(10-),342.5 3,87 9,E 2,,,
2539.7 6,(10-),461.2 3,100 10,E 2,,,
2539.7 6,(10-),461.2 3,87 9,E 2,,,
2565.8 7,12+,594.0 3,100 0,E 2,,,
2680.1 16,(10-),304,,E 2,,,
2680.1 16,(10-),304,,E 2,,,
2680.1 16,(10-),484,,E 2,,,
2680.1 16,(10-),484,,E 2,,,
2734.6 7,12+,168,,E 2,,,
2734.6 7,12+,168,100 0,E 2,,,
2734.6 7,12+,762.7 3,,E 2,,,
2734.6 7,12+,762.7 3,100 0,E 2,,,
2793.1 18,(11-),716,100 0,E 2,,,
2910.9 6,(12-),371.3 3,100 10,E 2,,,
2910.9 6,(12-),371.3 3,47 4,E 2,,,
2910.9 6,(12-),414.0 3,100 10,E 2,,,
2910.9 6,(12-),414.0 3,47 4,E 2,,,
2962.2 7,(13-),396.4 3,8.2 16,E 2,,,
2962.2 7,(13-),396.4 3,100 5,E 2,,,
2962.2 7,(13-),465.4 3,8.2 16,E 2,,,
2962.2 7,(13-),465.4 3,100 5,E 2,,,
3009.2 7,14+,274.6 3,22.3 24,E 2,,,
3009.2 7,14+,274.6 3,22.3 24,E 2,,,
3009.2 7,14+,274.6 3,100 5,E 2,,,
