"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"5/2-","180 ns 8","37.40 5","M1+E2","0.029 +8-11","12.6","B(E2)(W.u.)=0.035 21, B(M1)(W.u.)=0.000131 22, α=12.6",
"5/2-","180 ns 8","107.2 2","(E2)","","2.73","α=2.73",
"197.23","7/2-","","90.0 2","M1+E2","0.23 2","5.58","α=5.58",
"197.47","7/2+","160 ns 40","90.3 1","E1","","0.472","B(E1)(W.u.)=1.3E-6 4, α=0.472",
"241.90","7/2-","","160.4 1","M1+E2","0.69 +40-30","0.93","α=0.93 8",
"7/2-","","172.2 1","E2","","0.484","α=0.484",
"255.51","9/2+","","58.05 5","M1+E2","0.21 10","4.7","α=4.7 14",
"262.14","9/2-","","180.6 1","E2","","0.41","α=0.41",
"312.27","9/2-","","115.0 1","M1+E2","","2.4","α=2.4 3",
"9/2-","","205.3 2","(E2)","","0.266","α=0.266",
"435.4","13/2+","","99.2 3","M1+E2","-0.49 3","4.12","α=4.12",
"13/2+","","180.0 3","(E2)","","0.415","α=0.415",
"451.5","11/2-","","139.2 2","M1+E2","+0.09 2","1.59","α=1.59",
"508.6","11/2-","","266.9 2","E2","","0.114","α=0.114",
"536.0","13/2-","","273.8 3","E2","","0.106","α=0.106",
"567.4","15/2+","","131.9 3","M1+E2","-0.21 +29-19","1.84","α=1.84 6",
"15/2+","","231.5 3","E2","","0.179","α=0.179",
"613.7","13/2-","","162.3 3","M1+E2","-0.05 11","1.04","α=1.04",
"13/2-","","301.3 3","(E2)","","0.0788","α=0.0788",
"704.2","17/2+","","136.6 3","M1+E2","-0.25 +23-16","1.65","α=1.65 5",
"17/2+","","269.0 3","(E2)","","0.111","α=0.111",
"785.3","7/2-,9/2-","","529.8 2","E1","","0.00583","α=0.00583",
"7/2-,9/2-","","587.8 2","M1+E2","1.9 +31-7","0.0174","α=0.0174 17",
"797.5","(15/2-)","","346.1 3","(E2)","","0.0524","α=0.0524",
"811.7","5/2-","","730.6 2","M1","","0.0188","α=0.0188",
"862.2","15/2-","","353.6 3","E2","","0.0493","α=0.0493",
"895.0","17/2-","","359.0 3","E2","","0.0472","α=0.0472",
"896.0","19/2+","","191.7 3","M1+E2","-0.9 +10-5","0.51","α=0.51 7",
"19/2+","","328.7 3","E2","","0.0609","α=0.0609",
"942.8","7/2-","","700.6 2","M1+E2","1.9 +34-7","0.0114","α=0.0114 11",
"1002.6","(17/2-)","","388.9 3","E2","","0.0378","α=0.0378",
"1060.0","21/2+","","164.0 3","M1+E2","+0.17 +12-11","0.995","α=0.995",
"21/2+","","355.7 3","E2","","0.0485","α=0.0485",
"1111.4","7/2+","","1030.0 2","E1","","0.00156","α=0.00156",
"1225.8","(19/2-)","","223.2 3","M1+E2","-0.20 8","0.419","α=0.419",
"(19/2-)","","428.3 3","E2","","0.0291","α=0.0291",
"1248.5","7/2-","","1006.6 2","M1","","0.00848","α=0.00848",
"1294.4","19/2-","","432.2 3","E2","","0.0284","α=0.0284",
"1317.5","23/2+","","421.5 3","E2","","0.0303","α=0.0303",
"1330.5","21/2-","","435.4 3","E2","","0.0278","α=0.0278",
"1450.2","9/2+","","1208.2 2","E1","","0.00117","α=0.00117",
"1467.2","(21/2-)","","464.7 3","E2","","0.0234","α=0.0234",
"1498.1","25/2+","","438.3 3","E2","","0.0273","α=0.0273",
"1700.5","19/2+","≤ 5 ns","996.2 3","E2","","0.00416","B(E2)(W.u.)≥0.00094, α=0.00416",
"1722.3","(23/2-)","","496.5 3","E2","","0.0198","α=0.0198",
"1796.4","(23/2-)","","502.0 3","(E2)","","0.0193","α=0.0193",
"1817.3","21/2+","","116.8 3","M1+E2","","2.3","α=2.3 3",
"1822.4","27/2+","","504.9 3","E2","","0.0191","α=0.0191",
"1832.5","(25/2-)","","502.0 3","(E2)","","0.0193","α=0.0193",
"1982.1","(23/2)-","19.5 ns 6","164.8 3","E1","","0.0979","B(E1)(W.u.)=2.27E-6 8, α=0.0979",
"1989.5","(25/2-)","","522.3 3","E2","","0.0175","α=0.0175",
"2014.3","29/2+","","516.2 3","E2","","0.0180","α=0.0180",
"2263.6","(27/2-)","","541.3 3","E2","","0.0160","α=0.0160",
"2392.7","(29/2-)","","560.1 3","(E2)","","0.0148","α=0.0148",
"2397.8","31/2+","","575.3 3","E2","","0.0138","α=0.0138",
"2596.2","(29/2-)","","242.0 3","(M1+E2)","+0.25 4","0.331","α=0.331",
"2601.6","33/2+","","587.4 3","E2","","0.0132","α=0.0132",
"2814.7","(29/2-)","≤ 3.5 ns","460.5 3","E2","","0.0240","B(E2)(W.u.)≥0.13, α=0.0240",
"2818.3","(31/2-)","","554.7 3","(E2)","","0.0151","α=0.0151",
"3001.5","(33/2-)","","608.8 3","(E2)","","0.0121","α=0.0121",
"3028.2","35/2+","","630.4 3","E2","","0.0112","α=0.0112",
"3251.5","37/2+","","649.9 3","E2","","0.0104","α=0.0104",
"3640.0","(37/2-)","","545.3 3","E2","","0.0158","α=0.0158",
"3685.5","(37/2-)","","590.8 3","(E2)","","0.0130","α=0.0130",
"3701.9","39/2+","","673.7 3","E2","","0.00958","α=0.00958",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","1/2-","23.6 h 1 , % ε = 100","E(level): From 173Ta ε decay. 1/2[521] band.",
"69.73","3/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"81.49","5/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"107.16","5/2-","180 ns 8","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"197.23","7/2-","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"197.47","7/2+","160 ns 40","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"241.90","7/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"255.51","9/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"262.14","9/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"312.27","9/2-","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"336.0","11/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"435.4","13/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"451.5","11/2-","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"508.6","11/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"536.0","13/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"567.4","15/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"613.7","13/2-","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"704.2","17/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"797.5","(15/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"862.2","15/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"895.0","17/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"896.0","19/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"1002.6","(17/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"1060.0","21/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"1078.3","(13/2+)","","E(level): From 173Ta ε decay. Kπ=13/2+ band.",
"1208.4","(15/2+)","","E(level): From 173Ta ε decay. Kπ=13/2+ band.",
"1225.8","(19/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"1294.4","19/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"1317.5","23/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"1330.5","21/2-","","E(level): From 173Ta ε decay. 1/2[521] band.",
"1355.2","(17/2+)","","E(level): From 173Ta ε decay. Kπ=13/2+ band.",
"1467.2","(21/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"1473.2","(17/2-)","","E(level): From 173Ta ε decay. YRARE EXTENSION OF 1/2[521] band.",
"1498.1","25/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"1521","(19/2+)","","E(level): From 173Ta ε decay. Kπ=13/2+ band.",
"1700.5","19/2+","≤ 5 ns","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"1722.3","(23/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"1796.4","(23/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"1812.9","(21/2-)","","E(level): From 173Ta ε decay. YRARE EXTENSION OF 1/2[521] band.",
